4L25101010, 4, L, 25, 10, 10, 10, 0, 99.65, 6.42, 1.000, 66, 95.02, 1.97, 0.003, 80, 79.93, 2.26, 0.832, 88, 62.08, 2.95, 0.012, 94, 43.40, 3.39, 0.000, 98, 28.20, 5.98, 0.000, 100, 19.72, 8.59, 0.012, 940.41
4L255-1020, 4, L, 25, 5, -10, 20, 0, 93.12, 6.98, 0.511, 66, 75.87, 2.68, 0.000, 80, 59.32, 3.09, 0.000, 88, 42.95, 3.95, 0.000, 94, 23.61, 3.78, 0.000, 98, 5.99, 5.99, 0.000, 100, -4.51, 2.95, 0.000, 475.71
4L257.5-1020, 4, L, 25, 7.5, -10, 20, 0, 92.34, 8.82, 0.605, 66, 76.03, 3.34, 0.000, 80, 59.25, 3.83, 0.000, 88, 42.70, 4.89, 0.000, 94, 23.62, 4.66, 0.000, 98, 6.53, 7.09, 0.000, 100, -3.56, 4.67, 0.000, 524.99
4L2510-1020, 4, L, 25, 10, -10, 20, 0, 91.38, 10.52, 0.641, 66, 76.15, 4.00, 0.000, 80, 59.43, 4.59, 0.000, 88, 42.78, 5.88, 0.000, 94, 23.86, 5.57, 0.000, 98, 7.11, 8.18, 0.000, 100, -2.72, 6.36, 0.000, 540.87
4L255020, 4, L, 25, 5, 0, 20, 0, 99.52, 4.75, 0.998, 66, 87.40, 2.21, 0.400, 80, 69.59, 2.63, 0.000, 88, 53.50, 3.32, 0.000, 94, 34.18, 3.26, 0.000, 98, 16.20, 5.40, 0.000, 100, 5.34, 6.33, 0.000, 690.53
4L257.5020, 4, L, 25, 7.5, 0, 20, 0, 98.69, 6.47, 0.985, 66, 87.05, 2.80, 0.496, 80, 69.79, 3.30, 0.000, 88, 53.43, 4.18, 0.000, 94, 34.01, 4.06, 0.000, 98, 16.17, 6.91, 0.000, 100, 5.48, 7.70, 0.000, 647.34
4L2510020, 4, L, 25, 10, 0, 20, 0, 97.46, 8.18, 0.953, 66, 86.47, 3.43, 0.522, 80, 69.80, 4.02, 0.002, 88, 53.35, 5.11, 0.000, 94, 34.00, 4.94, 0.000, 98, 16.39, 8.47, 0.000, 100, 5.90, 9.12, 0.000, 619.36
4L2551020, 4, L, 25, 5, 10, 20, 0, 99.99, 3.76, 1.000, 66, 96.89, 1.81, 0.000, 80, 81.20, 2.22, 0.678, 88, 63.35, 2.77, 0.019, 94, 44.15, 2.78, 0.000, 98, 28.07, 4.38, 0.000, 100, 18.94, 6.45, 0.000, 759.11
4L257.51020, 4, L, 25, 7.5, 10, 20, 0, 99.87, 4.90, 0.999, 66, 96.05, 2.24, 0.001, 80, 81.07, 2.73, 0.744, 88, 63.49, 3.42, 0.103, 94, 44.28, 3.41, 0.000, 98, 28.05, 5.49, 0.000, 100, 18.80, 8.10, 0.003, 744.41
4L25101020, 4, L, 25, 10, 10, 20, 0, 99.56, 6.10, 0.998, 66, 94.94, 2.77, 0.083, 80, 80.72, 3.34, 0.822, 88, 63.66, 4.21, 0.261, 94, 44.25, 4.17, 0.000, 98, 27.37, 6.83, 0.002, 100, 17.59, 9.82, 0.028, 700.45
