11;	0;	8;	1,17;	100,0;	95,2;	94,64;	94,62;	94,07;	91,74;	88,58;	85,8;	84,25;	83,11;	82,29;	79,25;	76,79;	74,67;	73,45;	68,96;	67,52;	66,91;	61,84;	61,14;	60,61;	58,67;	54,23;	52,68;	49,81;	46,9;	46,67;	46,2;	44,37;	42,08;	39,09;	38,7;	37,13;	36,28;	34,33;	32,15;	31,04;	29,44;	29,38;	28,46;	27,61;	27,21;	25,6;	24,71;	22,38;	21,32;	19,25;	17,64;	17,27;	14,7;	14,06;	13,5;	12,41;	12,35;	12,26;	10,12;	9,51;	6,65;	6,09;	4,82;	3,42;	2,9;	1,93;	0,73;	0,54;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
12;	-4;	8;	0,82;	95,15;	94,53;	92,56;	90,89;	90,55;	89,41;	87,99;	87,4;	86,99;	84,67;	83,44;	81,17;	77,41;	76,96;	75,28;	74,91;	74,2;	74,15;	73,43;	72,56;	72,13;	70,71;	69,15;	66,54;	66,32;	66,28;	65,45;	63,53;	63,0;	62,59;	60,92;	58,89;	57,34;	55,53;	54,9;	53,95;	52,9;	52,55;	51,15;	49,89;	49,72;	47,98;	47,59;	45,7;	44,59;	43,94;	42,25;	40,77;	39,52;	38,09;	37,17;	36,93;	35,15;	33,99;	32,73;	31,64;	30,13;	29,3;	29,28;	29,05;	28,26;	28,19;	27,05;	25,73;	24,92;	24,82;	23,93;	23,28;	23,01;	22,79;	22,41;	21,95;	21,68;	21,21;	20,84;	20,83;	20,53;	20,09;	19,77;	19,24;	19,01;	18,08;	17,9;	17,5;	17,39;	17,21;	17,19;	17,02;	17,01;	16,9;	16,71;	16,68;	16,6;	16,51;	16,48;	16,46;	16,46;	16,46;	16,46;	16,46;	16,46
13;	5;	8;	1,19;	nan;	nan;	nan;	nan;	nan;	100,0;	97,51;	96,41;	95,03;	91,7;	90,62;	89,0;	86,97;	86,46;	83,88;	83,87;	82,7;	80,55;	79,24;	77,62;	77,06;	75,39;	73,3;	69,36;	65,85;	65,08;	61,01;	60,38;	57,55;	54,26;	53,39;	49,6;	49,0;	45,3;	44,22;	43,54;	42,76;	39,89;	36,05;	35,1;	33,85;	31,79;	30,11;	29,72;	27,26;	26,65;	25,63;	22,91;	21,99;	21,54;	21,34;	20,59;	19,82;	19,26;	18,01;	17,64;	17,37;	17,35;	15,36;	15,35;	15,3;	14,47;	14,43;	12,4;	12,33;	10,48;	9,98;	7,6;	7,14;	7,06;	6,4;	6,01;	3,85;	3,7;	1,29;	0,54;	0,32;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
14;	-9;	8;	1,58;	82,32;	81,11;	79,83;	79,39;	75,98;	73,0;	70,78;	68,87;	62,25;	57,54;	56,96;	56,03;	56,02;	52,02;	50,61;	43,61;	39,18;	35,24;	32,82;	27,68;	23,96;	20,82;	18,78;	16,15;	13,14;	12,66;	7,05;	4,42;	3,23;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
15;	-5;	8;	1,16;	89,62;	87,97;	87,71;	84,43;	80,43;	77,47;	76,55;	76,44;	76,35;	75,09;	74,37;	73,46;	69,39;	64,1;	59,74;	59,02;	58,01;	55,28;	55,11;	54,74;	53,43;	50,53;	47,95;	44,87;	43,9;	43,43;	41,64;	41,16;	40,97;	39,53;	38,39;	38,1;	36,72;	36,2;	34,13;	33,94;	31,4;	29,66;	28,36;	27,47;	26,67;	26,21;	25,89;	25,5;	24,56;	24,37;	21,77;	21,69;	21,66;	20,4;	19,93;	19,57;	18,51;	18,03;	17,83;	16,84;	16,83;	16,05;	15,88;	15,26;	13,91;	13,71;	12,74;	12,14;	11,12;	9,65;	7,85;	7,45;	6,56;	6,43;	4,8;	4,78;	4,69;	4,21;	4,05;	3,76;	3,52;	2,97;	2,92;	2,01;	1,89;	1,23;	0,66;	0,63;	0,42;	0,23;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
16;	-1;	8;	0,82;	98,23;	97,79;	96,22;	95,93;	95,86;	91,2;	90,41;	89,59;	88,89;	85,96;	84,52;	82,56;	77,71;	74,7;	72,88;	71,84;	71,16;	69,55;	68,62;	68,39;	66,84;	64,9;	62,5;	62,29;	61,59;	61,33;	61,27;	59,84;	58,14;	57,62;	55,05;	54,38;	53,09;	52,91;	52,23;	49,49;	48,59;	48,06;	47,14;	46,59;	45,75;	45,34;	45,24;	44,37;	43,65;	41,98;	41,13;	40,19;	40,03;	39,43;	38,75;	37,72;	37,67;	37,11;	36,92;	36,84;	35,98;	35,5;	33,72;	32,77;	31,8;	30,24;	29,06;	28,62;	28,54;	28,22;	28,02;	27,83;	27,23;	27,18;	27,04;	26,62;	26,01;	25,7;	25,22;	24,95;	24,71;	24,61;	24,17;	24,06;	23,46;	23,39;	22,85;	22,71;	22,41;	22,11;	21,94;	21,94;	21,38;	20,97;	20,93;	20,74;	20,7;	20,68;	20,67;	20,55;	20,55;	20,52;	20,52;	20,52;	20,52
17;	5;	8;	0,93;	nan;	nan;	nan;	nan;	nan;	100,0;	99,21;	95,87;	93,6;	90,38;	89,17;	87,71;	84,63;	80,35;	78,53;	77,32;	75,58;	75,33;	73,48;	72,8;	71,79;	71,3;	67,67;	66,67;	62,88;	60,33;	58,47;	56,33;	56,05;	55,66;	54,97;	53,39;	50,35;	49,59;	48,94;	48,86;	48,62;	47,74;	46,11;	44,76;	44,04;	40,38;	38,41;	37,02;	35,55;	35,22;	34,42;	33,98;	33,36;	32,19;	31,82;	30,01;	28,57;	27,22;	26,64;	25,9;	25,25;	24,9;	24,04;	23,81;	21,29;	21,07;	20,67;	20,13;	19,32;	18,5;	17,69;	17,01;	16,19;	15,2;	14,47;	14,29;	13,89;	12,78;	12,65;	12,32;	12,19;	11,64;	11,62;	11,2;	10,56;	10,51;	10,37;	10,34;	9,64;	9,18;	8,96;	8,88;	8,71;	8,39;	8,32;	8,22;	8,0;	7,85;	7,69;	7,51;	7,34;	7,21;	6,97;	6,78;	6,41
18;	-7;	8;	1,01;	90,97;	86,85;	86,65;	85,29;	81,16;	80,37;	78,11;	77,43;	75,54;	72,6;	72,18;	69,27;	68,5;	67,28;	65,25;	62,53;	60,27;	56,54;	56,22;	55,68;	54,4;	53,1;	52,93;	52,3;	51,36;	49,55;	49,48;	49,47;	49,29;	48,14;	47,81;	47,2;	46,2;	45,65;	44,46;	44,17;	43,87;	43,68;	43,2;	42,8;	41,52;	41,14;	38,86;	38,12;	37,02;	35,09;	34,57;	34,44;	34,09;	33,83;	33,63;	32,9;	32,67;	31,25;	30,74;	29,73;	29,44;	29,32;	27,51;	27,09;	26,36;	26,27;	26,21;	24,97;	24,13;	23,43;	23,09;	22,85;	22,56;	21,82;	21,74;	20,74;	20,12;	19,01;	18,72;	18,27;	18,03;	17,67;	17,0;	16,63;	16,27;	16,25;	15,97;	15,95;	15,76;	15,43;	15,27;	15,21;	15,07;	15,01;	15,01;	15,0;	15,0;	15,0;	15,0;	15,0;	15,0;	15,0;	15,0;	15,0;	15,0
19;	6;	8;	0,75;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,98;	97,08;	96,87;	94,07;	92,87;	90,81;	90,28;	89,86;	88,28;	87,33;	86,93;	85,3;	84,16;	81,35;	80,95;	80,39;	79,29;	79,02;	77,0;	76,51;	75,74;	75,18;	74,02;	72,83;	72,3;	71,65;	70,14;	68,7;	66,98;	66,24;	65,34;	64,07;	63,03;	62,03;	61,9;	61,49;	60,34;	60,15;	59,22;	57,62;	57,13;	54,92;	54,82;	53,3;	52,76;	52,08;	51,26;	49,24;	48,72;	48,09;	47,11;	46,61;	46,3;	43,55;	43,54;	42,55;	41,95;	41,42;	41,16;	40,95;	40,15;	39,65;	38,9;	38,45;	38,1;	38,03;	37,27;	36,81;	36,57;	36,2;	35,79;	35,75;	35,4;	35,37;	34,62;	33,99;	33,85;	33,53;	33,27;	32,87;	32,87;	32,17;	31,94;	31,38;	30,96;	30,88;	30,56;	30,27;	30,17;	30,0;	29,82;	29,72;	29,6;	29,56
20;	-7;	8;	1,16;	78,79;	75,84;	74,17;	72,25;	67,25;	64,17;	61,8;	57,39;	56,21;	52,08;	50,91;	49,78;	48,01;	47,43;	47,14;	46,76;	46,66;	44,34;	43,46;	41,99;	39,49;	37,17;	34,65;	34,52;	32,18;	29,27;	29,17;	27,86;	26,79;	23,09;	23,06;	20,74;	18,27;	17,66;	15,92;	13,13;	12,51;	11,27;	10,81;	9,6;	7,96;	6,85;	4,98;	2,38;	1,15;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
21;	-7;	8;	0,83;	90,39;	90,11;	89,48;	89,19;	87,91;	87,68;	86,58;	85,22;	83,32;	83,23;	80,99;	78,19;	75,99;	74,69;	73,93;	72,99;	68,58;	65,87;	63,36;	62,82;	61,81;	59,75;	59,26;	57,36;	55,8;	52,92;	52,66;	51,64;	48,04;	47,18;	45,34;	43,15;	42,6;	41,81;	39,79;	39,55;	38,61;	37,82;	37,62;	36,18;	35,05;	33,98;	33,56;	29,96;	29,25;	28,86;	28,43;	27,79;	27,5;	26,51;	25,59;	25,28;	24,43;	23,56;	23,47;	23,02;	22,91;	22,57;	22,15;	22,13;	20,92;	20,74;	20,28;	20,25;	19,65;	18,96;	18,51;	17,98;	17,88;	17,69;	17,22;	17,02;	16,94;	16,29;	15,98;	15,49;	15,45;	14,88;	14,68;	14,64;	14,57;	14,44;	14,38;	14,29;	13,98;	13,8;	13,63;	13,58;	13,45;	13,42;	13,31;	13,28;	13,27;	13,27;	13,27;	13,27;	13,27;	13,27;	13,27;	13,27;	13,27
22;	-10;	8;	0,85;	85,69;	84,51;	83,38;	82,33;	82,31;	81,97;	80,39;	79,57;	77,89;	77,27;	74,17;	73,55;	71,84;	71,3;	70,87;	70,67;	70,39;	69,78;	69,35;	67,29;	66,82;	66,73;	65,69;	65,35;	63,74;	61,49;	61,35;	60,93;	59,23;	58,94;	58,77;	58,11;	57,97;	57,65;	57,42;	55,55;	53,47;	52,89;	52,52;	51,45;	50,37;	50,21;	49,88;	49,43;	48,64;	46,81;	45,96;	44,27;	43,24;	42,88;	41,48;	40,44;	39,97;	38,41;	37,97;	37,28;	37,15;	36,28;	36,04;	35,89;	35,63;	34,6;	34,4;	34,01;	33,85;	33,46;	33,4;	33,19;	33,05;	32,96;	32,81;	32,17;	31,75;	31,42;	31,3;	31,23;	30,55;	30,36;	30,08;	29,91;	29,89;	29,81;	29,78;	29,58;	29,42;	29,38;	29,26;	29,24;	29,18;	29,16;	29,16;	29,16;	29,16;	29,16;	29,16;	29,16;	29,16;	29,16;	29,16;	29,16;	29,16
23;	-9;	8;	1,29;	79,27;	78,64;	75,54;	68,37;	66,71;	63,77;	62,81;	60,03;	59,62;	58,71;	58,1;	55,68;	51,73;	51,0;	48,97;	44,4;	42,31;	41,19;	37,83;	37,34;	36,6;	35,03;	34,36;	33,93;	32,73;	28,59;	23,87;	23,78;	22,81;	22,34;	21,98;	20,52;	20,52;	18,53;	15,21;	14,51;	14,17;	13,39;	8,71;	8,01;	7,19;	5,02;	4,73;	4,68;	3,86;	2,94;	1,68;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
