0;	21;	5;	0,96;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,96;	99,9;	99,74;	99,28;	98,99;	98,33;	98,03;	97,56;	97,33;	97,15;	96,85;	96,53;	96,41;	95,87;	95,17;	94,02;	93,48;	92,67;	92,51;	91,59;	91,3;	91,12;	91,11;	90,11;	89,68;	89,23;	88,68;	86,98;	84,42;	83,02;	82,2;	81,16;	78,19;	74,9;	74,63;	73,94;	73,56;	72,93;	69,21;	66,79;	63,72;	62,41;	58,58;	56,49;	54,66;	53,91;	52,7;	50,72;	48,55;	45,25;	42,76;	40,48;	39,24;	37,78;	37,09;	36,86;	35,72;	34,14;	34,1;	29,72;	29,27;	25,8;	24,97;	20,9;	14,88;	14,45;	11,83;	11,48;	10,1;	5,43;	2,38;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
11;	5;	5;	0,93;	nan;	nan;	nan;	nan;	nan;	100,0;	100,0;	99,89;	99,63;	99,6;	99,32;	99,12;	98,75;	98,74;	98,05;	97,7;	97,21;	97,18;	96,25;	94,98;	93,9;	93,59;	93,0;	92,24;	91,63;	91,61;	91,55;	90,88;	90,56;	89,48;	89,44;	89,08;	88,27;	86,64;	84,46;	84,28;	81,53;	81,04;	78,84;	78,62;	76,33;	76,24;	75,66;	74,2;	74,11;	73,17;	71,21;	70,73;	69,11;	67,77;	65,72;	65,1;	63,99;	60,46;	58,41;	56,6;	56,15;	55,69;	54,27;	52,04;	50,2;	47,42;	45,09;	43,2;	41,66;	38,02;	33,7;	30,77;	27,7;	27,51;	25,48;	22,57;	17,98;	14,35;	11,77;	11,62;	9,95;	7,13;	6,71;	5,93;	4,99;	4,26;	2,56;	0,24;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
12;	-12;	5;	0,93;	97,53;	97,48;	96,94;	96,68;	96,29;	95,43;	95,31;	93,99;	93,19;	93,0;	93,0;	92,08;	91,62;	90,61;	90,04;	89,66;	88,25;	87,42;	86,74;	85,39;	84,51;	84,38;	83,26;	83,03;	81,75;	81,4;	81,17;	78,76;	78,6;	77,44;	76,64;	74,63;	72,08;	71,3;	68,58;	66,29;	63,34;	60,83;	58,89;	57,97;	57,39;	55,78;	53,87;	48,86;	46,96;	45,5;	38,91;	36,47;	33,4;	32,03;	29,89;	23,43;	19,94;	18,21;	15,92;	12,34;	6,8;	5,95;	4,25;	3,53;	1,68;	1,01;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
13;	-10;	5;	1,03;	97,94;	97,58;	97,24;	97,06;	95,9;	95,77;	95,46;	95,05;	93,16;	92,6;	91,73;	89,54;	89,46;	89,17;	88,69;	87,5;	86,7;	86,32;	85,48;	83,92;	82,3;	78,77;	77,42;	74,87;	74,48;	74,32;	72,3;	71,03;	69,78;	69,76;	64,95;	60,95;	59,88;	59,58;	59,37;	56,85;	55,97;	53,65;	52,91;	50,39;	48,37;	46,06;	45,86;	44,02;	40,58;	38,72;	35,52;	31,35;	28,87;	27,42;	27,1;	27,01;	26,3;	25,93;	18,36;	18,08;	15,04;	12,81;	10,38;	10,2;	9,26;	9,08;	4,62;	0,31;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
14;	-9;	5;	1,01;	98,1;	97,96;	97,74;	97,61;	97,15;	96,79;	96,61;	96,12;	95,63;	95,46;	94,81;	93,86;	92,55;	91,34;	90,76;	90,19;	88,71;	87,31;	87,13;	86,61;	85,34;	83,44;	81,25;	80,59;	78,37;	77,22;	76,27;	75,2;	73,29;	72,89;	71,5;	67,33;	63,78;	61,54;	60,68;	59,35;	55,74;	54,64;	52,73;	51,69;	46,94;	43,54;	41,0;	35,34;	34,93;	27,57;	25,57;	24,94;	23,94;	21,96;	21,19;	19,66;	19,49;	16,47;	11,76;	5,31;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
15;	0;	5;	0,96;	100,0;	99,9;	99,86;	99,71;	99,57;	99,15;	98,96;	98,82;	98,41;	97,66;	97,22;	96,87;	95,63;	95,42;	95,02;	93,64;	93,4;	92,37;	91,98;	91,21;	90,7;	89,95;	88,47;	88,42;	87,79;	86,96;	86,69;	86,34;	84,77;	84,03;	83,56;	82,3;	81,72;	77,95;	76,39;	75,0;	73,99;	71,34;	70,24;	69,2;	68,99;	65,77;	63,14;	61,13;	59,08;	58,87;	56,57;	56,55;	56,44;	53,14;	51,21;	50,87;	47,32;	45,32;	45,32;	44,03;	43,16;	42,42;	40,7;	35,96;	30,63;	30,15;	28,24;	25,44;	24,21;	22,75;	20,8;	17,3;	14,15;	11,48;	11,07;	6,94;	4,99;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
16;	0;	5;	1,02;	100,0;	99,98;	99,92;	99,71;	99,63;	99,58;	99,43;	99,34;	99,12;	98,89;	98,79;	98,25;	98,02;	97,33;	95,94;	94,86;	91,14;	88,57;	88,4;	86,85;	86,76;	86,38;	85,6;	84,84;	83,45;	82,97;	80,84;	79,85;	79,51;	79,11;	78,41;	76,86;	74,44;	72,4;	70,99;	67,72;	67,35;	66,31;	65,88;	64,74;	64,11;	63,22;	61,92;	60,6;	57,37;	56,66;	53,25;	52,65;	50,11;	47,91;	44,5;	41,46;	40,31;	37,56;	35,74;	35,09;	31,39;	26,62;	25,2;	23,74;	21,93;	19,13;	18,43;	13,58;	12,09;	9,07;	4,47;	4,38;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
17;	13;	5;	1,02;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,98;	99,96;	99,69;	99,59;	99,48;	99,0;	98,47;	98,43;	97,49;	97,45;	96,42;	96,15;	96,05;	95,3;	94,7;	94,14;	92,08;	91,1;	90,7;	89,39;	87,68;	87,3;	86,63;	86,09;	83,27;	82,21;	81,86;	80,19;	77,88;	75,3;	72,75;	72,28;	71,6;	67,07;	65,39;	64,64;	62,2;	61,01;	60,34;	58,72;	58,43;	57,99;	57,81;	54,97;	52,89;	51,08;	49,07;	48,9;	47,0;	46,76;	45,79;	45,01;	40,99;	39,34;	38,91;	34,74;	32,46;	29,0;	26,09;	23,5;	19,28;	16,79;	16,33;	11,99;	7,69;	7,31;	4,74;	2,44;	2,29;	0,88;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
18;	7;	5;	1,03;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,99;	99,95;	99,77;	99,62;	98,99;	98,89;	98,68;	98,52;	98,04;	96,75;	96,58;	95,99;	95,83;	95,27;	94,72;	94,14;	94,06;	93,85;	93,39;	92,32;	90,69;	90,49;	89,61;	87,99;	85,87;	82,97;	82,76;	81,73;	79,56;	77,1;	75,34;	74,4;	73,44;	72,4;	70,8;	70,77;	69,98;	68,97;	65,97;	64,4;	63,07;	61,91;	56,67;	52,37;	51,61;	50,15;	48,49;	46,68;	46,42;	44,83;	39,23;	37,41;	34,46;	33,69;	31,35;	27,43;	24,07;	21,91;	15,07;	8,87;	6,08;	5,67;	5,07;	0,54;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
19;	-5;	5;	0,97;	99,34;	98,95;	98,91;	98,85;	98,64;	98,3;	98,18;	98,17;	97,35;	96,28;	96,18;	95,76;	95,61;	94,93;	94,65;	93,99;	92,68;	91,61;	90,32;	88,85;	87,08;	86,16;	84,13;	82,41;	80,65;	80,62;	80,06;	79,22;	78,63;	77,66;	77,1;	74,35;	73,22;	71,29;	67,11;	66,96;	65,9;	65,88;	62,51;	59,78;	55,7;	54,89;	53,23;	49,75;	45,93;	43,57;	41,22;	38,22;	36,38;	35,0;	32,68;	30,21;	27,62;	26,16;	19,97;	18,9;	17,44;	15,5;	14,46;	13,21;	11,51;	6,19;	1,83;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
20;	0;	5;	1,03;	100,0;	99,96;	99,73;	99,71;	99,69;	99,55;	99,2;	98,85;	98,76;	97,76;	97,49;	97,02;	96,82;	96,23;	95,73;	95,29;	93,28;	93,01;	91,23;	90,47;	90,03;	88,65;	88,11;	87,86;	85,15;	84,39;	82,41;	79,96;	79,59;	79,16;	74,99;	74,1;	73,54;	71,14;	70,33;	70,06;	68,44;	64,77;	59,05;	55,87;	54,7;	53,98;	53,89;	52,36;	49,01;	44,06;	42,0;	38,9;	35,06;	33,02;	32,96;	30,0;	28,18;	23,86;	22,3;	21,68;	14,29;	10,66;	10,48;	8,74;	5,31;	4,93;	4,87;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
