0;	21;	5;	0,96;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,96;	99,9;	99,74;	99,28;	98,99;	98,33;	98,03;	97,56;	97,33;	97,15;	96,85;	96,53;	96,41;	95,87;	95,17;	94,02;	93,48;	92,67;	92,51;	91,59;	91,3;	91,12;	91,11;	90,11;	89,68;	89,23;	88,68;	86,98;	84,42;	83,02;	82,2;	81,16;	78,19;	74,9;	74,63;	73,94;	73,56;	72,93;	69,21;	66,79;	63,72;	62,41;	58,58;	56,49;	54,66;	53,91;	52,7;	50,72;	48,55;	45,25;	42,76;	40,48;	39,24;	37,78;	37,09;	36,86;	35,72;	34,14;	34,1;	29,72;	29,27;	25,8;	24,97;	20,9;	14,88;	14,45;	11,83;	11,48;	10,1;	5,43;	2,38;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
21;	13;	5;	0,99;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,96;	99,84;	99,77;	99,7;	99,58;	99,1;	98,67;	98,44;	97,97;	97,66;	97,36;	96,31;	95,88;	94,86;	94,68;	94,04;	93,49;	92,01;	91,77;	91,08;	90,64;	90,5;	88,71;	88,52;	87,95;	86,48;	84,48;	83,92;	82,4;	80,33;	78,75;	77,91;	76,96;	74,61;	74,54;	74,22;	72,23;	68,67;	67,97;	67,87;	67,19;	64,36;	61,22;	58,71;	56,37;	55,89;	52,76;	51,98;	50,3;	49,65;	49,29;	46,97;	42,84;	41,54;	39,71;	38,6;	35,39;	31,31;	26,82;	25,86;	21,15;	14,96;	12,0;	11,19;	3,83;	2,41;	0,06;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
22;	-12;	5;	0,97;	96,89;	96,58;	96,38;	96,2;	95,57;	94,99;	94,76;	93,33;	92,4;	92,34;	91,41;	90,12;	88,66;	88,54;	87,64;	86,11;	85,72;	85,65;	84,73;	84,52;	83,7;	82,48;	81,56;	80,41;	77,9;	75,36;	74,43;	74,41;	72,21;	70,97;	69,36;	69,34;	68,53;	68,08;	66,9;	63,26;	61,92;	58,63;	56,36;	56,11;	54,99;	54,07;	52,76;	46,85;	46,64;	44,86;	44,1;	42,58;	39,33;	37,5;	35,13;	33,79;	32,86;	27,78;	25,15;	24,88;	20,58;	15,43;	13,96;	12,22;	7,28;	4,82;	4,39;	3,18;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
23;	5;	5;	0,97;	nan;	nan;	nan;	nan;	nan;	100,0;	100,0;	99,97;	99,84;	99,47;	99,46;	99,25;	99,06;	98,41;	97,7;	97,5;	96,7;	95,87;	95,08;	94,6;	93,78;	92,3;	91,69;	90,58;	88,82;	87,01;	86,92;	86,4;	85,52;	85,15;	84,91;	84,81;	84,44;	83,12;	82,56;	80,49;	79,55;	79,54;	77,43;	77,07;	77,0;	75,54;	74,82;	74,48;	73,36;	70,94;	69,91;	68,8;	68,75;	68,6;	67,45;	66,01;	65,0;	64,88;	64,63;	62,04;	61,55;	61,35;	58,82;	58,54;	57,33;	52,34;	51,15;	49,86;	47,47;	40,98;	38,19;	35,32;	33,79;	33,34;	32,93;	28,69;	25,47;	22,28;	21,6;	19,49;	12,4;	11,72;	10,61;	10,44;	9,83;	9,5;	9,3;	3,77;	2,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
24;	6;	5;	0,95;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,96;	99,94;	99,93;	99,69;	99,27;	98,49;	98,06;	97,38;	96,94;	96,3;	95,91;	95,32;	95,32;	95,0;	94,43;	94,27;	93,49;	92,83;	91,79;	91,57;	90,96;	89,56;	89,42;	88,34;	88,1;	85,24;	84,75;	82,45;	81,94;	81,68;	80,63;	78,96;	78,36;	78,08;	75,62;	75,29;	71,0;	69,48;	68,84;	63,96;	59,65;	58,67;	55,26;	53,95;	52,35;	52,32;	50,6;	48,32;	46,73;	44,88;	42,13;	38,56;	36,44;	31,95;	30,11;	29,72;	28,88;	25,4;	19,15;	16,49;	13,49;	12,51;	11,05;	6,57;	5,55;	0,86;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
25;	3;	5;	1,01;	nan;	nan;	nan;	100,0;	100,0;	99,88;	99,87;	99,77;	99,72;	99,51;	99,12;	99,08;	98,51;	98,44;	97,72;	97,62;	97,06;	96,19;	94,99;	94,41;	93,16;	92,77;	91,7;	90,54;	89,86;	88,89;	87,99;	86,66;	84,64;	82,13;	81,31;	79,68;	78,78;	76,82;	75,63;	75,57;	75,13;	74,61;	73,83;	72,34;	72,27;	72,02;	71,01;	69,0;	67,16;	64,04;	60,85;	60,3;	59,22;	58,75;	55,83;	53,95;	52,94;	52,92;	51,97;	49,2;	48,33;	47,51;	41,01;	40,67;	38,82;	33,84;	31,97;	25,69;	22,33;	20,64;	19,72;	18,05;	15,11;	14,76;	12,48;	11,44;	10,71;	4,15;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
26;	0;	5;	0,97;	100,0;	99,96;	99,85;	99,65;	99,62;	99,07;	98,99;	98,32;	97,64;	97,12;	96,5;	96,26;	95,96;	95,65;	94,93;	94,64;	92,86;	92,69;	92,55;	91,83;	90,66;	89,61;	89,35;	88,84;	88,04;	86,75;	85,67;	83,6;	83,56;	82,94;	81,27;	81,25;	80,6;	79,0;	77,66;	76,0;	75,01;	74,43;	72,46;	70,31;	68,66;	64,74;	61,53;	60,76;	60,17;	58,13;	56,56;	55,24;	47,6;	44,03;	41,12;	40,54;	40,44;	39,75;	36,78;	35,78;	33,87;	32,96;	32,32;	31,79;	27,94;	25,41;	24,9;	21,93;	21,91;	19,15;	17,31;	13,24;	8,38;	4,56;	3,5;	2,2;	0,41;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
27;	-5;	5;	0,97;	99,62;	99,27;	98,75;	98,72;	98,19;	98,14;	97,36;	97,1;	95,73;	95,06;	95,05;	94,09;	93,44;	93,35;	92,53;	92,26;	91,88;	91,86;	91,29;	90,96;	90,13;	89,94;	89,34;	85,24;	84,44;	83,71;	83,53;	83,22;	83,03;	81,86;	80,42;	80,39;	76,69;	73,71;	71,39;	69,85;	66,77;	65,6;	64,06;	61,65;	60,04;	56,95;	53,98;	53,4;	53,21;	49,02;	47,93;	46,46;	43,2;	41,9;	37,63;	35,7;	34,64;	33,88;	31,16;	30,37;	27,34;	25,4;	24,98;	23,32;	18,0;	17,84;	15,11;	14,7;	14,35;	12,17;	9,09;	7,01;	1,64;	1,21;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
28;	4;	5;	0,94;	nan;	nan;	nan;	nan;	100,0;	99,95;	99,84;	99,79;	99,5;	99,25;	98,69;	98,68;	98,44;	97,97;	97,46;	96,8;	95,95;	95,62;	95,61;	94,64;	94,35;	93,9;	93,72;	92,81;	92,47;	92,36;	91,49;	90,01;	87,79;	87,0;	85,88;	85,17;	83,26;	80,8;	78,74;	78,07;	77,99;	74,57;	71,45;	68,49;	65,56;	64,29;	62,65;	61,44;	59,85;	58,56;	56,73;	56,44;	54,56;	53,2;	52,51;	49,97;	48,59;	47,01;	46,85;	45,97;	42,89;	39,36;	38,74;	33,45;	31,82;	29,42;	28,39;	28,21;	27,19;	22,48;	17,96;	17,11;	16,84;	15,94;	15,14;	13,43;	11,19;	10,31;	8,7;	3,57;	3,17;	0,04;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
29;	8;	5;	0,96;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,94;	99,92;	99,78;	99,5;	99,26;	99,22;	99,19;	98,82;	98,62;	98,06;	96,68;	96,48;	96,34;	96,3;	95,88;	95,53;	94,39;	94,37;	92,77;	92,73;	92,38;	91,94;	90,9;	89,96;	89,78;	89,17;	89,09;	88,49;	87,64;	86,36;	86,18;	83,81;	82,58;	81,98;	81,93;	78,71;	78,69;	77,36;	75,09;	74,91;	71,71;	70,48;	69,5;	66,8;	60,4;	60,18;	59,55;	56,55;	56,31;	54,76;	54,3;	53,75;	53,22;	52,35;	50,33;	47,92;	47,52;	46,37;	39,91;	39,0;	35,64;	33,46;	28,78;	25,86;	23,55;	22,23;	19,69;	14,97;	12,74;	10,45;	5,59;	4,78;	3,37;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
30;	21;	5;	0,97;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,99;	99,95;	99,71;	99,5;	99,04;	98,69;	98,44;	98,31;	97,9;	97,83;	97,52;	97,44;	96,45;	96,11;	95,75;	95,71;	95,63;	94,99;	93,6;	92,44;	92,41;	92,11;	91,52;	90,71;	89,77;	88,22;	86,9;	86,37;	86,15;	84,86;	83,46;	83,35;	83,11;	82,52;	79,33;	78,49;	78,22;	76,41;	73,81;	72,76;	72,34;	71,32;	70,25;	67,87;	64,43;	61,95;	61,73;	60,85;	59,48;	57,94;	57,76;	57,18;	55,49;	55,22;	54,51;	52,1;	51,11;	45,36;	42,5;	42,46;	40,45;	39,75;	36,82;	35,41;	35,09;	31,31;	30,6;	30,33;	24,32;	23,45;	17,3;	16,22;	14,92;	11,79;	11,49;	9,6;	7,85;	5,48;	4,2
31;	-4;	5;	1,04;	99,8;	99,69;	99,42;	99,13;	99,04;	98,56;	98,11;	97,68;	97,19;	96,41;	96,37;	95,81;	95,23;	93,99;	93,1;	92,5;	91,71;	90,65;	89,54;	87,65;	86,79;	85,24;	85,07;	82,61;	81,99;	81,21;	77,54;	77,03;	75,03;	74,49;	72,97;	72,64;	70,91;	68,75;	67,65;	66,55;	63,85;	62,05;	61,1;	59,41;	58,25;	57,64;	56,67;	55,5;	53,99;	53,31;	50,26;	47,37;	43,74;	39,16;	36,54;	31,49;	28,63;	24,7;	21,55;	18,42;	15,73;	12,79;	12,69;	8,31;	6,34;	4,99;	3,2;	3,11;	1,0;	0,16;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
32;	-10;	5;	1,02;	98,33;	97,87;	97,3;	97,23;	95,93;	95,86;	95,65;	95,62;	94,92;	93,86;	92,5;	90,72;	89,92;	89,44;	88,94;	88,2;	87,41;	86,11;	85,78;	84,82;	83,57;	82,6;	79,78;	78,58;	76,6;	75,71;	74,92;	70,52;	69,4;	66,43;	65,93;	63,98;	61,44;	56,9;	56,14;	56,02;	54,07;	53,75;	51,55;	51,4;	46,73;	41,89;	39,82;	39,65;	37,07;	36,26;	30,67;	30,63;	28,96;	26,93;	21,47;	19,63;	18,78;	17,78;	15,14;	8,75;	6,42;	5,74;	5,46;	1,64;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
33;	-14;	5;	1,01;	96,49;	96,42;	95,19;	94,79;	93,98;	92,15;	91,74;	91,51;	90,71;	88,3;	87,71;	87,15;	86,49;	84,99;	83,66;	80,71;	79,47;	78,29;	77,02;	76,31;	75,78;	74,57;	71,29;	69,74;	68,58;	66,47;	65,6;	64,0;	62,36;	62,05;	59,68;	59,26;	58,15;	57,96;	56,42;	55,7;	54,55;	51,17;	49,94;	45,18;	44,13;	42,79;	35,98;	34,67;	33,68;	31,22;	31,06;	27,98;	25,72;	22,14;	20,32;	19,13;	16,2;	11,64;	10,08;	6,24;	5,91;	2,52;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
34;	-8;	5;	1,01;	99,15;	98,98;	98,88;	98,12;	97,75;	97,58;	97,35;	95,33;	95,0;	94,88;	94,47;	93,9;	93,41;	93,32;	92,83;	91,24;	90,07;	87,74;	87,29;	85,79;	83,38;	82,72;	80,31;	80,18;	79,11;	78,85;	76,59;	75,38;	72,78;	71,18;	70,06;	68,81;	68,33;	66,24;	64,0;	63,46;	59,62;	59,57;	59,45;	56,12;	55,99;	53,4;	48,29;	47,46;	46,8;	43,2;	40,55;	39,59;	36,47;	32,9;	28,56;	27,03;	27,03;	26,78;	23,5;	21,84;	20,98;	15,72;	8,6;	5,91;	2,71;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
35;	3;	5;	1,01;	nan;	nan;	nan;	100,0;	99,91;	99,78;	99,67;	99,6;	99,49;	98,74;	98,39;	97,96;	97,5;	97,38;	96,71;	96,55;	96,21;	95,85;	95,6;	95,04;	94,92;	94,83;	94,59;	92,66;	92,47;	91,21;	90,14;	89,84;	88,89;	87,24;	85,69;	85,53;	85,19;	84,24;	84,13;	83,72;	83,17;	82,25;	80,42;	78,31;	76,44;	75,57;	73,71;	70,76;	69,24;	67,98;	66,1;	64,76;	63,07;	61,13;	60,61;	57,97;	55,85;	55,71;	54,96;	54,01;	52,82;	51,54;	51,16;	50,12;	48,61;	47,4;	47,05;	44,46;	42,76;	37,57;	37,25;	31,24;	31,2;	29,67;	29,27;	24,45;	20,8;	18,67;	15,83;	12,36;	12,35;	7,91;	7,19;	6,03;	3,37;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
36;	20;	5;	1,03;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,95;	99,91;	99,87;	99,83;	99,7;	99,38;	99,05;	98,76;	98,74;	98,67;	98,27;	97,77;	97,22;	95,51;	94,16;	93,94;	93,44;	92,34;	91,69;	91,28;	90,47;	90,18;	88,88;	87,8;	86,76;	86,75;	86,4;	85,17;	83,79;	80,83;	77,96;	77,36;	76,42;	74,93;	74,43;	71,66;	69,71;	66,61;	64,56;	62,46;	62,24;	61,79;	57,53;	55,42;	52,71;	51,62;	51,61;	51,53;	49,45;	47,11;	45,87;	45,79;	45,0;	42,27;	40,67;	33,85;	32,52;	31,26;	31,12;	31,11;	27,4;	24,68;	24,23;	17,7;	15,92;	14,03;	11,4;	9,23;	7,59;	5,94;	2,24;	1,93;	0,04;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
37;	-2;	5;	0,96;	99,97;	99,75;	99,33;	99,23;	99,13;	99,13;	99,08;	97,97;	97,66;	97,53;	96,47;	95,78;	95,54;	94,99;	94,69;	93,92;	93,55;	93,41;	93,17;	92,48;	89,16;	89,11;	87,85;	87,48;	86,42;	85,55;	85,45;	83,17;	82,19;	81,84;	80,33;	79,08;	78,51;	78,29;	77,64;	75,58;	74,5;	74,17;	71,55;	70,78;	66,64;	65,48;	61,09;	58,38;	58,26;	57,03;	55,1;	51,91;	50,86;	49,39;	46,3;	43,52;	43,1;	41,44;	37,01;	33,06;	32,24;	32,22;	28,53;	25,57;	20,57;	17,42;	16,16;	14,91;	14,49;	12,68;	5,32;	3,58;	2,01;	0,54;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
38;	9;	5;	1,13;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	100,0;	99,91;	99,76;	99,62;	99,54;	99,2;	98,7;	98,69;	97,78;	97,32;	96,99;	96,77;	95,07;	94,67;	93,98;	92,6;	90,86;	87,81;	87,4;	86,9;	85,64;	85,27;	85,02;	84,18;	83,16;	81,77;	80,89;	80,86;	80,83;	79,69;	78,49;	77,21;	76,95;	76,74;	76,55;	75,94;	73,9;	72,99;	70,99;	67,83;	66,15;	63,62;	62,07;	58,87;	55,75;	53,2;	50,79;	50,18;	47,46;	45,87;	41,38;	36,94;	30,63;	30,18;	23,63;	16,59;	8,95;	7,8;	6,57;	0,44;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
39;	0;	5;	0,94;	100,0;	100,0;	99,9;	99,69;	99,53;	99,48;	99,22;	99,05;	98,53;	98,18;	98,15;	97,3;	97,16;	96,55;	96,53;	95,97;	95,32;	94,54;	93,76;	93,18;	93,1;	92,19;	92,12;	91,5;	91,04;	90,89;	89,7;	89,09;	87,36;	85,92;	82,58;	81,4;	79,83;	79,42;	78,27;	76,8;	76,56;	74,32;	71,97;	71,93;	71,48;	70,88;	70,67;	66,52;	65,95;	65,95;	64,75;	60,8;	57,04;	53,75;	51,13;	47,94;	44,95;	41,85;	40,97;	40,18;	37,38;	33,87;	33,27;	31,0;	29,73;	27,45;	19,01;	18,62;	15,55;	10,39;	10,04;	6,81;	3,23;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
40;	-3;	5;	1,05;	99,83;	99,68;	99,33;	99,31;	98,96;	98,68;	97,85;	97,23;	96,95;	96,8;	96,26;	95,35;	94,07;	92,89;	92,42;	91,13;	90,72;	89,93;	88,27;	86,92;	85,0;	84,73;	83,87;	83,42;	82,07;	80,03;	79,0;	77,75;	77,36;	76,13;	73,93;	73,58;	71,61;	70,45;	70,25;	67,8;	67,07;	65,1;	62,93;	60,82;	54,96;	54,84;	50,81;	46,78;	46,51;	44,92;	39,53;	37,85;	33,33;	33,3;	31,13;	30,89;	28,58;	27,35;	27,1;	26,04;	23,36;	21,32;	21,2;	17,08;	15,83;	10,77;	5,58;	4,77;	3,2;	1,75;	1,62;	0,24;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
41;	1;	5;	0,96;	nan;	100,0;	99,94;	99,91;	99,76;	99,41;	99,24;	99,15;	98,94;	98,73;	98,51;	98,43;	98,04;	97,55;	96,74;	96,65;	96,1;	95,28;	95,02;	93,95;	92,71;	91,59;	90,85;	90,39;	90,05;	88,65;	87,69;	86,64;	86,06;	83,89;	82,0;	78,48;	78,3;	78,0;	76,84;	74,52;	73,53;	72,67;	67,93;	65,36;	64,51;	64,11;	62,81;	61,94;	59,83;	59,34;	58,19;	53,6;	50,95;	49,24;	43,51;	38,0;	37,59;	35,03;	33,56;	30,58;	26,71;	22,01;	20,9;	18,88;	18,58;	17,35;	13,33;	13,28;	12,98;	9,8;	7,8;	6,15;	1,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
42;	-18;	5;	0,92;	93,53;	93,42;	93,33;	91,79;	90,88;	89,27;	88,42;	87,1;	86,14;	86,11;	85,58;	84,07;	83,34;	82,17;	81,02;	80,95;	79,44;	79,08;	78,8;	78,37;	76,98;	75,82;	75,28;	74,63;	72,66;	71,94;	68,31;	64,64;	63,56;	62,2;	61,79;	60,46;	58,87;	56,1;	55,63;	53,29;	51,19;	49,83;	48,48;	47,32;	44,87;	43,79;	42,55;	42,0;	41,56;	35,55;	34,8;	33,13;	31,59;	26,35;	25,69;	21,91;	18,63;	15,27;	9,38;	3,46;	1,27;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
43;	6;	5;	0,97;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,96;	99,93;	99,71;	99,71;	99,51;	99,24;	99,23;	99,01;	98,12;	97,85;	97,85;	97,47;	97,04;	96,66;	96,22;	95,82;	95,22;	95,06;	93,09;	92,51;	91,36;	89,29;	89,18;	86,16;	83,74;	83,69;	81,93;	81,34;	79,76;	79,26;	78,21;	77,36;	76,35;	75,23;	73,86;	72,17;	71,45;	69,75;	66,32;	65,77;	64,73;	63,94;	63,23;	61,85;	61,2;	60,19;	58,75;	56,49;	55,38;	54,25;	53,91;	53,47;	53,22;	50,38;	49,35;	46,83;	46,36;	46,31;	45,7;	42,03;	41,31;	40,55;	37,27;	35,61;	34,48;	30,36;	29,3;	28,76;	22,12;	18,14;	17,83;	12,66;	8,75;	8,13;	4,01;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
44;	0;	5;	1,02;	100,0;	99,92;	99,86;	99,83;	99,66;	99,63;	98,86;	98,61;	98,25;	97,52;	97,24;	96,62;	96,11;	95,34;	95,18;	94,89;	93,74;	93,58;	93,02;	92,7;	92,1;	90,48;	89,62;	89,46;	87,76;	87,34;	86,83;	85,25;	83,79;	83,73;	83,05;	81,94;	80,63;	80,39;	78,37;	78,19;	78,12;	75,77;	74,48;	72,1;	71,68;	70,03;	68,89;	68,66;	68,57;	66,9;	64,6;	62,16;	57,41;	57,14;	56,63;	56,08;	56,04;	55,77;	54,57;	54,16;	53,91;	53,01;	50,73;	44,8;	38,36;	36,91;	33,8;	33,21;	31,95;	31,15;	26,19;	25,76;	21,97;	19,47;	19,08;	16,55;	14,4;	11,6;	5,92;	4,97;	3,36;	1,45;	0,2;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
45;	9;	5;	1,05;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,99;	99,92;	99,91;	99,85;	99,79;	99,75;	99,71;	99,25;	99,0;	98,35;	98,23;	97,98;	96,83;	95,91;	95,32;	94,95;	94,51;	93,82;	91,35;	90,44;	90,14;	89,79;	89,04;	88,45;	86,67;	85,65;	84,87;	84,52;	84,34;	83,77;	83,13;	82,96;	82,79;	82,38;	81,08;	77,79;	73,36;	71,06;	68,61;	67,93;	67,34;	63,22;	62,63;	60,95;	54,37;	53,79;	52,13;	50,23;	48,93;	47,33;	45,15;	42,71;	38,99;	38,85;	38,31;	37,3;	32,44;	29,44;	25,37;	21,72;	17,74;	16,38;	16,29;	15,27;	12,67;	8,08;	7,66;	6,0;	4,62;	4,48;	2,55;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
46;	-2;	5;	0,96;	99,9;	99,83;	99,65;	99,49;	99,33;	99,07;	98,34;	98,07;	97,41;	97,36;	97,29;	97,22;	96,18;	95,51;	94,58;	93,32;	92,17;	91,76;	90,64;	88,31;	87,96;	87,7;	87,51;	86,55;	85,63;	84,81;	84,11;	82,32;	81,91;	81,63;	80,71;	80,42;	78,26;	76,17;	75,98;	75,36;	74,12;	72,4;	71,78;	71,21;	69,97;	69,13;	64,66;	62,74;	62,18;	61,3;	54,25;	51,21;	50,06;	47,63;	41,74;	37,37;	36,44;	34,94;	32,28;	28,6;	26,63;	24,86;	23,69;	21,48;	19,08;	18,78;	17,23;	16,43;	14,82;	13,87;	8,15;	5,76;	3,18;	1,94;	1,52;	0,13;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
47;	14;	5;	0,92;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,96;	99,89;	99,79;	99,63;	99,58;	99,34;	99,16;	98,98;	98,72;	98,39;	98,22;	97,84;	97,2;	96,63;	96,2;	96,06;	94,76;	94,06;	92,91;	91,44;	90,98;	90,38;	89,47;	89,16;	88,71;	87,17;	86,12;	84,96;	83,29;	81,95;	80,17;	80,07;	79,46;	76,75;	75,66;	74,48;	73,54;	71,04;	70,92;	70,64;	69,09;	67,9;	67,29;	66,77;	63,57;	60,87;	60,82;	59,89;	59,78;	59,25;	55,8;	53,16;	50,43;	49,63;	48,79;	47,33;	46,37;	46,16;	45,8;	42,83;	39,81;	39,47;	38,68;	38,12;	32,92;	27,23;	24,85;	21,86;	20,9;	15,29;	12,93;	10,25;	9,4;	4,54;	4,4;	2,14;	1,59;	0,61;	0,42;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
48;	-7;	5;	1,03;	99,39;	99,25;	99,11;	98,91;	98,78;	98,36;	98,15;	97,95;	97,68;	96,12;	93,67;	93,37;	92,62;	92,16;	91,94;	91,85;	91,06;	90,69;	89,99;	89,18;	88,98;	86,22;	83,45;	82,88;	79,32;	78,73;	76,51;	74,05;	73,63;	72,48;	71,29;	70,15;	69,51;	68,58;	63,97;	61,94;	58,87;	57,95;	57,09;	54,4;	49,13;	48,71;	46,0;	45,8;	42,62;	40,27;	39,05;	37,3;	35,92;	34,13;	32,55;	30,25;	24,33;	20,21;	14,1;	12,08;	11,88;	3,94;	2,88;	0,41;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
