0;	-14;	3;	1,01;	77,73;	77,12;	75,64;	74,71;	74,2;	72,55;	70,63;	67,47;	65,56;	65,03;	63,67;	59,9;	59,25;	58,63;	58,3;	57,85;	55,68;	54,6;	53,77;	52,41;	51,85;	48,36;	47,56;	46,76;	45,77;	45,36;	42,58;	41,47;	41,1;	40,99;	38,23;	37,99;	35,32;	34,7;	32,59;	32,07;	30,72;	30,26;	30,01;	28,59;	27,47;	26,25;	26,11;	25,06;	24,07;	23,33;	22,85;	22,37;	20,01;	17,66;	17,22;	15,91;	13,14;	10,12;	8,27;	7,17;	4,75;	3,91;	2,05;	0,74;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
1;	11;	3;	1,0;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,59;	98,18;	96,58;	92,99;	92,09;	91,19;	89,17;	89,15;	88,71;	88,1;	88,0;	87,95;	85,84;	85,49;	85,43;	85,08;	83,42;	81,29;	79,6;	79,12;	78,4;	76,68;	74,25;	73,45;	70,81;	70,28;	67,67;	67,58;	67,46;	66,44;	64,37;	62,6;	62,29;	61,45;	61,03;	59,27;	58,81;	58,75;	57,71;	57,61;	57,33;	56,69;	55,99;	55,75;	55,09;	53,85;	51,84;	49,35;	47,33;	44,55;	43,19;	42,26;	42,04;	38,23;	37,66;	35,69;	33,34;	31,46;	30,18;	29,68;	28,78;	27,47;	27,12;	25,6;	24,32;	24,16;	23,18;	21,06;	18,99;	16,64;	15,48;	14,01;	12,05;	11,49;	10,55;	6,71;	5,29;	5,02;	3,31;	1,82;	1,73;	1,45;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
2;	12;	3;	0,92;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,21;	98,75;	96,84;	94,91;	91,75;	90,45;	89,88;	87,99;	85,44;	83,7;	83,18;	81,62;	79,58;	78,48;	77,89;	77,56;	76,9;	76,12;	74,66;	73,97;	71,69;	70,55;	70,29;	69,8;	69,24;	67,84;	66,52;	65,06;	64,85;	64,23;	63,56;	61,07;	60,03;	59,44;	58,88;	58,21;	58,15;	57,95;	56,15;	55,89;	54,71;	54,28;	52,88;	51,23;	50,12;	47,22;	44,34;	42,29;	41,98;	39,98;	38,11;	37,51;	35,33;	33,76;	33,74;	33,19;	32,86;	32,01;	31,78;	31,39;	30,34;	26,26;	24,78;	23,36;	22,4;	20,78;	20,7;	20,46;	20,26;	19,19;	18,72;	18,35;	17,67;	17,36;	16,6;	16,33;	15,59;	14,35;	14,31;	12,68;	12,53;	12,21;	11,54;	11,12;	9,11;	6,82;	5,68;	5,67
3;	2;	3;	0,99;	nan;	nan;	100,0;	99,52;	97,56;	95,62;	92,89;	92,74;	92,23;	90,25;	88,2;	88,14;	87,53;	87,52;	86,2;	85,55;	83,71;	81,75;	81,31;	80,54;	79,49;	79,28;	77,28;	74,75;	73,37;	72,6;	69,44;	68,79;	68,03;	65,7;	64,41;	63,44;	62,1;	62,06;	61,38;	59,65;	59,04;	56,92;	55,73;	53,34;	51,61;	51,09;	50,74;	49,85;	48,29;	44,9;	42,76;	42,71;	42,63;	41,27;	39,15;	37,79;	35,98;	34,43;	33,24;	31,96;	30,17;	28,32;	27,42;	27,09;	26,57;	24,7;	24,46;	23,81;	22,74;	21,03;	20,97;	19,18;	16,88;	16,32;	13,83;	12,46;	11,03;	10,18;	9,82;	8,86;	8,66;	8,05;	7,45;	5,51;	5,45;	5,2;	4,13;	3,7;	1,45;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
4;	22;	3;	0,99;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,28;	98,47;	98,11;	96,06;	93,49;	93,37;	91,74;	91,37;	91,08;	90,24;	87,52;	85,79;	84,55;	82,52;	81,41;	78,69;	76,28;	75,83;	75,37;	73,29;	71,29;	71,18;	68,8;	67,63;	66,58;	66,04;	65,4;	61,77;	60,95;	60,84;	56,98;	54,47;	53,76;	52,23;	51,21;	50,23;	49,89;	49,72;	48,43;	47,72;	47,1;	45,55;	45,47;	43,34;	43,24;	40,58;	38,55;	37,57;	36,77;	32,11;	31,58;	31,3;	30,27;	28,26;	26,68;	26,21;	24,42;	22,67;	20,04;	19,33;	17,43;	17,28;	17,04;	16,84;	15,5;	14,4;	12,66;	11,75;	8,73;	6,97;	5,64;	3,79;	2,46;	1,46;	0,91;	0,0;	0,0;	0,0
5;	6;	3;	1,1;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,84;	97,53;	97,51;	96,13;	92,94;	89,68;	87,87;	87,68;	87,46;	86,07;	84,41;	82,52;	82,27;	81,86;	81,67;	81,1;	80,14;	77,17;	75,34;	73,58;	73,34;	71,85;	71,71;	71,61;	69,64;	69,54;	66,8;	65,15;	62,25;	60,78;	58,59;	57,43;	57,25;	56,53;	56,01;	53,68;	52,95;	52,01;	51,24;	50,63;	49,98;	49,68;	48,8;	47,57;	46,7;	46,19;	45,78;	45,17;	43,31;	42,0;	41,18;	35,42;	33,2;	31,02;	29,55;	29,28;	29,16;	27,33;	26,62;	24,08;	23,22;	21,1;	19,68;	16,77;	15,92;	14,78;	13,52;	13,2;	12,63;	11,93;	10,24;	9,1;	8,16;	4,43;	2,81;	1,27;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
6;	12;	3;	1,01;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,34;	95,08;	94,28;	93,86;	92,53;	91,28;	89,76;	89,58;	88,97;	88,91;	88,28;	87,1;	84,56;	83,03;	82,29;	77,85;	77,68;	76,58;	74,92;	72,94;	72,16;	71,81;	68,84;	68,69;	68,32;	67,91;	67,81;	67,53;	67,1;	65,22;	62,53;	59,36;	59,29;	57,76;	55,95;	53,99;	52,64;	51,69;	51,2;	48,91;	48,39;	48,08;	47,59;	47,29;	47,08;	45,88;	41,77;	40,23;	39,63;	39,19;	36,17;	35,45;	34,61;	34,44;	33,62;	31,14;	29,84;	29,84;	28,19;	26,8;	25,11;	23,36;	22,64;	22,47;	20,13;	19,33;	19,21;	18,24;	15,04;	14,84;	13,79;	12,36;	12,17;	10,85;	8,61;	6,54;	5,08;	3,72;	2,61;	1,94;	0,65;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
7;	-5;	3;	1,02;	91,0;	88,86;	87,57;	86,8;	86,67;	84,84;	82,68;	82,06;	81,31;	80,39;	79,44;	78,89;	77,39;	75,62;	73,87;	73,28;	71,02;	69,98;	68,58;	66,12;	64,47;	63,39;	61,27;	58,95;	58,3;	58,27;	57,42;	56,71;	54,31;	54,11;	53,14;	53,05;	52,84;	50,9;	49,6;	49,08;	48,64;	48,43;	47,21;	44,44;	43,19;	42,22;	41,38;	37,94;	37,58;	34,43;	34,04;	31,01;	29,27;	28,71;	28,33;	25,42;	24,49;	24,0;	22,36;	20,59;	20,55;	19,62;	18,9;	17,73;	17,29;	16,39;	14,4;	13,5;	12,73;	12,38;	12,34;	11,72;	9,95;	8,26;	6,95;	6,0;	5,14;	4,41;	2,48;	0,94;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
8;	0;	3;	0,98;	100,0;	99,79;	98,74;	97,63;	97,05;	97,0;	96,08;	94,95;	94,56;	93,74;	93,11;	92,74;	91,78;	90,46;	89,85;	87,43;	86,0;	85,29;	83,53;	82,71;	80,58;	79,38;	79,3;	77,86;	75,87;	75,41;	73,18;	70,98;	69,31;	68,49;	67,77;	67,14;	66,5;	65,73;	64,41;	63,95;	63,87;	62,55;	61,79;	61,54;	61,53;	60,93;	60,45;	60,15;	60,08;	59,43;	58,37;	57,7;	56,61;	53,38;	52,56;	50,76;	50,45;	49,33;	47,74;	46,78;	46,71;	45,47;	44,04;	43,84;	41,91;	41,62;	39,68;	38,66;	37,98;	36,01;	35,57;	33,24;	32,24;	31,38;	29,41;	27,02;	24,68;	23,02;	20,82;	20,19;	19,85;	18,42;	18,03;	18,0;	17,4;	14,98;	14,11;	10,84;	10,8;	10,78;	10,51;	7,43;	5,21;	2,66;	2,37;	1,13;	0,68;	0,27;	0;	0;	0;	0;	0;	0;	0
9;	6;	3;	1,0;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,71;	96,49;	96,31;	95,88;	94,42;	92,36;	92,27;	90,56;	89,1;	88,85;	88,62;	87,66;	87,2;	82,91;	81,62;	81,13;	79,51;	78,28;	77,65;	76,37;	76,32;	74,94;	73,31;	71,97;	71,1;	70,07;	69,33;	67,08;	65,24;	64,03;	61,2;	60,62;	59,85;	58,64;	58,52;	56,71;	55,76;	53,04;	51,87;	51,73;	50,51;	49,92;	47,21;	47,13;	47,09;	45,87;	44,73;	42,41;	42,12;	41,55;	40,96;	39,7;	37,89;	37,15;	36,5;	36,27;	36,24;	36,05;	34,71;	33,79;	32,42;	31,54;	30,36;	30,04;	29,19;	28,18;	27,99;	27,47;	26,35;	23,68;	22,18;	19,79;	18,93;	18,81;	17,49;	15,8;	15,58;	15,01;	14,39;	12,92;	10,89;	10,08;	9,87;	7,81;	7,29;	6,3;	4,69;	3,55;	1,21;	0,0;	0,0;	0,0;	0,0;	0,0
10;	-7;	3;	1,01;	92,62;	92,26;	89,87;	89,28;	85,64;	83,48;	82,44;	82,29;	81,23;	79,3;	78,19;	77,24;	77,15;	76,22;	75,87;	74,72;	72,62;	71,47;	70,44;	67,93;	66,42;	63,95;	63,65;	62,14;	58,85;	58,39;	56,1;	54,15;	52,2;	49,77;	49,45;	49,43;	49,23;	47,41;	46,87;	46,33;	43,69;	43,41;	42,57;	41,0;	39,6;	37,55;	36,36;	36,11;	33,81;	33,65;	33,4;	31,77;	31,62;	30,95;	30,4;	29,33;	28,64;	28,61;	27,98;	26,69;	25,36;	23,03;	22,49;	20,08;	17,99;	15,85;	15,17;	14,21;	13,7;	12,63;	11,08;	9,29;	6,4;	4,51;	3,65;	2,25;	1,24;	1,19;	0,54;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
11;	-9;	3;	0,9;	90,7;	89,14;	88,58;	87,89;	86,34;	85,47;	84,68;	82,93;	81,52;	81,38;	80,25;	78,69;	76,89;	76,78;	76,0;	74,96;	73,53;	71,77;	70,94;	68,74;	66,24;	64,98;	64,82;	64,43;	62,84;	61,45;	60,45;	60,15;	58,93;	56,55;	55,48;	54,62;	52,29;	51,49;	49,26;	48,47;	48,04;	47,59;	47,2;	47,14;	46,04;	43,83;	43,66;	42,54;	42,13;	41,42;	37,88;	37,14;	36,2;	35,21;	33,49;	32,31;	30,79;	30,69;	30,15;	29,65;	29,45;	29,21;	28,69;	28,59;	28,48;	26,74;	26,12;	25,59;	24,13;	23,32;	21,1;	19,71;	18,28;	18,23;	16,86;	14,36;	13,34;	11,74;	10,48;	7,84;	7,22;	6,13;	5,69;	0,85;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
12;	-4;	3;	1,03;	94,42;	94,09;	92,87;	90,17;	87,78;	86,59;	85,46;	83,27;	81,96;	81,95;	79,21;	78,25;	74,71;	74,64;	74,47;	74,37;	72,04;	70,39;	69,05;	67,09;	67,05;	64,28;	62,05;	58,65;	57,91;	57,2;	56,57;	56,36;	53,32;	52,32;	52,0;	51,54;	49,87;	49,13;	48,23;	48,06;	47,4;	45,52;	44,46;	43,09;	42,03;	41,15;	40,77;	40,7;	38,66;	38,46;	36,43;	32,94;	32,81;	31,41;	30,99;	30,67;	29,35;	29,07;	27,83;	27,29;	25,96;	24,75;	24,45;	22,65;	21,18;	20,28;	18,76;	18,42;	17,0;	15,86;	15,31;	13,12;	11,86;	9,42;	7,86;	6,99;	6,92;	6,2;	5,51;	2,92;	0,68;	0,48;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
13;	2;	3;	0,9;	nan;	nan;	100,0;	98,24;	97,06;	96,85;	95,99;	95,7;	93,09;	91,92;	89,45;	89,16;	88,68;	87,68;	86,12;	85,88;	85,61;	85,29;	84,62;	84,28;	83,18;	80,96;	79,86;	79,62;	78,82;	78,72;	78,38;	77,47;	76,39;	76,13;	74,6;	74,38;	72,37;	71,85;	69,45;	67,55;	66,99;	66,6;	65,79;	62,94;	62,62;	62,11;	61,01;	60,16;	58,44;	57,61;	57,58;	55,96;	54,48;	53,35;	52,02;	50,72;	50,14;	49,05;	47,59;	46,74;	46,25;	46,03;	45,82;	43,33;	42,69;	42,52;	40,46;	39,19;	38,92;	38,73;	37,33;	33,43;	33,14;	32,44;	30,54;	30,21;	30,12;	29,44;	28,51;	27,48;	26,75;	25,46;	24,88;	23,88;	23,79;	20,93;	19,91;	18,4;	17,38;	16,84;	14,0;	12,9;	12,59;	10,1;	7,99;	7,78;	4,5;	3,35;	1,15;	0,14;	0,0;	0,0;	0,0;	0,0;	0,0
