11;	-6;	6;	0,75;	95,8;	95,33;	94,89;	92,98;	92,39;	92,06;	91,81;	89,66;	87,53;	86,92;	85,38;	83,98;	81,45;	79,52;	77,94;	76,39;	74,34;	68,5;	67,67;	66,73;	62,52;	61,32;	57,77;	56,57;	52,52;	49,94;	47,33;	44,38;	44,07;	39,49;	36,91;	33,74;	33,73;	27,4;	26,64;	23,01;	16,72;	14,98;	14,38;	12,56;	10,12;	9,97;	4,99;	2,03;	0,78;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
12;	-1;	6;	1,2;	99,87;	99,05;	98,21;	97,85;	96,2;	96,15;	95,37;	93,77;	91,48;	89,26;	89,04;	87,96;	85,85;	84,24;	78,83;	74,66;	71,38;	68,11;	66,25;	65,81;	65,58;	60,43;	59,36;	59,09;	56,63;	56,18;	52,55;	50,24;	49,79;	47,74;	45,82;	44,82;	44,81;	37,97;	32,17;	31,68;	28,48;	20,23;	15,83;	6,49;	4,52;	1,43;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
13;	21;	6;	0,84;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,91;	99,88;	99,24;	97,77;	97,11;	96,05;	95,54;	94,72;	93,92;	89,62;	87,08;	84,87;	82,98;	82,33;	79,6;	76,46;	75,52;	75,46;	74,92;	72,86;	71,81;	71,53;	67,66;	66,12;	65,84;	63,51;	59,68;	55,89;	53,77;	45,59;	37,67;	31,59;	30,83;	27,02;	18,58;	14,75;	9,55;	7,61;	1,21;	0,75;	0,11;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
14;	-11;	6;	0,97;	89,32;	89,32;	86,31;	83,97;	82,0;	79,92;	79,49;	78,75;	75,0;	72,3;	68,35;	64,24;	62,15;	57,31;	56,92;	55,05;	52,76;	47,51;	45,77;	43,23;	39,76;	32,95;	29,25;	25,73;	17,61;	17,28;	15,11;	13,42;	12,97;	12,41;	3,76;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
15;	2;	6;	1,45;	nan;	nan;	100,0;	99,95;	99,57;	98,36;	97,89;	97,75;	97,21;	96,84;	96,69;	93,32;	89,7;	86,34;	83,78;	82,23;	80,85;	80,31;	79,81;	78,14;	74,9;	71,57;	69,75;	66,72;	62,22;	60,8;	57,64;	51,97;	50,1;	44,84;	37,12;	36,32;	30,63;	29,96;	29,24;	27,64;	26,8;	24,58;	22,42;	16,78;	8,54;	7,13;	5,88;	1,97;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
16;	6;	6;	1,3;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,67;	99,66;	98,09;	97,6;	95,93;	95,79;	95,29;	93,91;	91,56;	89,33;	85,77;	84,66;	81,21;	80,39;	78,83;	76,59;	75,29;	75,0;	68,0;	67,95;	65,81;	64,24;	64,2;	62,61;	61,9;	57,33;	54,11;	50,36;	47,57;	41,34;	34,51;	31,98;	20,72;	18,42;	12,45;	11,66;	8,49;	1,46;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
17;	-10;	6;	1,05;	88,03;	82,66;	82,08;	78,96;	78,95;	73,9;	71,43;	64,24;	60,6;	58,1;	55,64;	52,41;	51,66;	51,11;	48,32;	44,49;	44,28;	39,03;	34,3;	34,17;	30,95;	26,21;	23,9;	20,14;	13,49;	11,67;	8,43;	6,84;	2,94;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
18;	29;	6;	1,19;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,75;	99,03;	97,29;	95,95;	95,7;	93,65;	93,62;	93,03;	90,25;	88,65;	86,31;	84,8;	82,37;	78,06;	75,14;	69,33;	68,96;	67,6;	64,33;	57,81;	57,22;	53,32;	49,65;	45,3;	44,31;	40,99;	40,25;	34,07;	33,0;	32,15;	28,68;	24,14;	21,58;	20,7;	17,31;	12,4;	3,73;	1,35;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
19;	-6;	6;	1,08;	96,31;	95,73;	95,65;	93,02;	92,61;	91,69;	89,9;	87,06;	85,57;	83,73;	82,9;	79,38;	79,14;	73,57;	68,56;	66,32;	62,18;	60,62;	58,35;	56,87;	52,96;	50,02;	49,96;	46,14;	44,74;	41,26;	40,88;	37,61;	30,57;	26,91;	24,48;	20,84;	19,95;	10,91;	7,3;	3,41;	1,33;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
20;	-4;	6;	0,99;	98,03;	97,37;	96,26;	94,29;	93,54;	91,43;	90,4;	89,95;	85,65;	85,0;	81,58;	81,57;	77,13;	75,74;	74,67;	72,51;	66,95;	65,26;	61,88;	58,77;	55,52;	50,74;	47,84;	44,3;	41,7;	40,44;	35,74;	34,9;	33,38;	30,0;	28,82;	20,96;	20,28;	13,83;	8,75;	1,18;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
