11;	0;	7;	1,04;	100,0;	74,06;	57,54;	53,48;	49,55;	43,92;	43,37;	40,78;	34,91;	33,09;	32,62;	27,7;	24,63;	22,57;	20,63;	19,77;	19,7;	17,58;	15,7;	15,34;	13,98;	13,11;	11,95;	10,98;	8,94;	8,59;	7,88;	5,53;	5,14;	4,52;	4,47;	3,96;	3,2;	2,21;	1,4;	0,97;	0,22;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
12;	25;	7;	0,99;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,3;	96,5;	83,46;	79,32;	74,84;	71,5;	67,35;	66,12;	64,17;	62,58;	62,0;	58,41;	57,21;	56,32;	56,11;	54,81;	52,39;	50,24;	50,23;	49,12;	48,81;	48,79;	47,05;	44,24;	43,89;	43,16;	42,58;	41,43;	40,6;	40,0;	39,16;	37,8;	37,76;	37,42;	36,31;	35,48;	35,35;	34,67;	34,3;	33,94;	33,69;	32,99;	32,83;	32,81;	31,84;	31,06;	30,27;	29,71;	28,94;	28,41;	28,19;	28,02;	27,98;	27,76;	27,04;	26,2;	25,54;	25,35;	25,26;	25,22;	24,84;	24,81;	24,1;	23,77;	23,32;	23,29;	22,76;	22,44;	22,3;	22,3;	22,12;	22,02;	21,89;	21,76;	21,34
13;	-18;	7;	1,0;	29,82;	28,98;	27,74;	27,69;	27,12;	25,6;	25,2;	24,94;	23,99;	22,19;	21,88;	21,25;	20,27;	19,13;	18,89;	17,21;	16,31;	15,47;	15,16;	15,16;	14,33;	14,11;	13,2;	11,73;	11,59;	11,35;	11,15;	10,44;	10,24;	10,15;	9,88;	9,39;	8,57;	8,57;	8,53;	8,26;	8,23;	8,21;	8,11;	8,06;	7,25;	6,64;	6,58;	6,17;	5,6;	5,56;	5,22;	4,73;	4,61;	4,6;	4,29;	3,47;	3,44;	3,36;	3,31;	3,03;	2,48;	2,33;	2,06;	1,95;	1,89;	1,82;	1,34;	1,18;	1,05;	1,04;	0,73;	0,53;	0,02;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
14;	-7;	7;	1,06;	46,4;	44,27;	42,97;	41,33;	39,52;	37,31;	34,19;	33,77;	31,06;	30,4;	29,61;	27,68;	25,55;	24,39;	24,38;	24,02;	23,28;	23,24;	21,21;	20,25;	19,15;	18,98;	17,6;	16,95;	16,4;	15,69;	15,2;	15,08;	14,12;	12,56;	10,58;	10,25;	10,0;	9,72;	9,56;	7,5;	6,58;	5,87;	5,72;	5,39;	5,26;	4,79;	4,62;	3,89;	3,07;	2,79;	2,55;	1,99;	1,32;	0,6;	0,46;	0,36;	0,19;	0,01;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
15;	5;	7;	1,02;	nan;	nan;	nan;	nan;	nan;	100,0;	66,3;	64,12;	46,17;	38,4;	36,2;	35,42;	26,33;	23,3;	22,93;	18,81;	18,45;	14,51;	13,12;	11,41;	9,25;	7,67;	6,81;	6,25;	5,39;	3,91;	3,43;	1,36;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
16;	10;	7;	0,94;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,66;	86,52;	68,98;	67,45;	64,75;	59,48;	59,25;	53,86;	50,91;	49,35;	48,27;	45,79;	45,34;	45,03;	43,12;	41,71;	41,26;	39,49;	38,82;	38,67;	38,33;	36,74;	36,66;	35,94;	35,16;	34,73;	33,13;	32,03;	31,76;	30,91;	30,79;	30,66;	30,14;	29,93;	29,24;	28,58;	28,43;	28,02;	27,87;	27,23;	27,12;	26,93;	26,26;	25,79;	25,75;	25,41;	25,06;	24,91;	24,59;	23,88;	23,61;	23,56;	22,45;	21,65;	21,06;	21,05;	20,67;	20,14;	20,14;	19,83;	19,65;	18,98;	18,58;	18,22;	17,7;	16,9;	16,55;	16,14;	15,69;	15,35;	15,03;	14,94;	14,93;	14,87;	14,67;	14,15;	14,07;	13,6;	13,54;	12,77;	12,44;	12,24;	12,21;	12,1;	11,97;	11,17;	10,58;	10,24;	9,79;	9,75
17;	-7;	7;	0,98;	47,97;	47,25;	44,09;	42,54;	42,02;	40,45;	38,07;	37,2;	36,87;	36,76;	36,6;	34,35;	34,16;	33,85;	33,75;	32,13;	31,43;	31,09;	29,07;	29,02;	28,63;	28,1;	27,95;	27,95;	26,54;	26,48;	26,43;	25,85;	25,58;	25,46;	24,45;	24,14;	22,3;	21,7;	20,99;	20,93;	20,35;	19,64;	18,88;	18,74;	18,66;	18,66;	18,05;	17,74;	17,59;	17,42;	16,67;	16,17;	15,82;	14,95;	14,71;	14,15;	14,08;	13,93;	13,84;	13,78;	13,69;	13,32;	13,13;	12,88;	12,38;	12,07;	12,03;	11,34;	11,09;	10,64;	10,63;	10,1;	9,8;	9,38;	8,84;	8,75;	8,57;	8,21;	8,06;	8,04;	7,81;	7,81;	7,63;	7,56;	7,54;	7,04;	7,02;	6,97;	6,51;	6,36;	6,22;	6,01;	5,78;	5,55;	5,23;	4,73;	4,68;	4,68;	4,41;	4,19;	4,08;	3,82;	3,76;	3,61;	3,44
18;	20;	7;	0,94;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	86,6;	78,38;	73,56;	67,85;	64,65;	61,96;	53,56;	53,11;	47,1;	46,35;	42,66;	41,31;	40,21;	38,61;	38,2;	35,71;	35,11;	33,87;	33,59;	33,07;	33,0;	32,53;	32,27;	29,64;	28,11;	26,64;	26,44;	24,97;	24,84;	24,54;	24,47;	23,21;	23,2;	22,81;	20,98;	20,53;	19,55;	19,43;	18,81;	18,32;	18,14;	17,54;	17,22;	17,08;	16,88;	16,86;	16,37;	15,76;	14,79;	14,47;	14,38;	13,56;	13,39;	13,14;	12,76;	12,49;	11,94;	11,69;	11,48;	11,36;	11,11;	10,82;	10,62;	10,06;	9,68;	9,22;	8,48;	8,2;	7,86;	7,72;	7,31;	6,9;	6,16;	6,16;	5,77;	5,59;	5,15;	5,01;	4,74;	4,74
19;	8;	7;	1,07;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	70,17;	66,68;	65,31;	58,67;	56,07;	52,23;	48,58;	42,83;	38,05;	36,82;	36,04;	30,67;	28,7;	26,29;	22,85;	22,25;	20,5;	18,34;	17,45;	15,64;	13,34;	12,94;	12,85;	12,13;	12,06;	11,49;	10,49;	8,51;	7,53;	7,5;	5,52;	5,49;	4,12;	3,94;	3,49;	3,41;	3,34;	2,63;	1,37;	0,36;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
20;	11;	7;	1,05;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	93,96;	87,74;	85,29;	78,05;	78,05;	77,34;	77,15;	75,61;	74,92;	69,18;	68,26;	66,36;	66,26;	65,19;	62,41;	61,9;	58,89;	57,38;	57,01;	56,57;	55,05;	54,41;	54,12;	52,51;	52,35;	51,72;	50,58;	49,66;	49,05;	48,23;	47,97;	47,22;	46,49;	46,3;	45,53;	45,52;	44,74;	43,58;	42,94;	42,13;	42,08;	40,73;	40,5;	40,13;	39,78;	39,28;	38,74;	38,17;	37,27;	37,03;	36,6;	35,83;	35,7;	35,18;	33,75;	33,02;	32,61;	32,5;	32,5;	32,45;	31,51;	30,54;	30,03;	29,27;	29,14;	29,05;	28,67;	28,17;	27,87;	27,46;	27,37;	26,94;	26,6;	25,81;	25,56;	25,17;	24,8;	24,75;	24,36;	23,92;	23,85;	23,52;	23,29;	22,97;	22,93;	22,63;	22,61;	22,44;	22,05
21;	-1;	7;	1,01;	93,59;	83,41;	82,64;	77,9;	71,59;	71,4;	68,69;	63,93;	59,34;	57,46;	54,55;	52,53;	49,89;	48,1;	46,47;	44,33;	42,89;	42,06;	41,44;	40,92;	40,68;	39,05;	37,49;	36,55;	34,97;	34,55;	34,48;	33,43;	33,39;	33,29;	32,57;	31,93;	31,85;	31,74;	31,4;	31,31;	30,56;	30,45;	29,24;	28,53;	27,43;	27,18;	26,65;	26,27;	25,58;	24,95;	24,63;	24,51;	24,26;	23,86;	22,94;	22,13;	21,57;	21,11;	20,81;	19,77;	19,66;	18,93;	18,64;	18,37;	17,87;	17,1;	16,81;	16,68;	16,19;	16,17;	16,1;	15,93;	15,34;	14,73;	14,59;	14,57;	14,5;	13,95;	13,71;	13,65;	13,3;	12,7;	12,34;	11,86;	11,73;	11,32;	11,22;	11,09;	10,9;	10,79;	10,71;	10,12;	10,1;	9,89;	9,48;	8,86;	8,7;	8,22;	7,86;	7,71;	7,6;	7,4;	7,34;	7,17;	6,93
22;	1;	7;	1,01;	nan;	100,0;	47,04;	27,88;	11,17;	11,13;	7,79;	2,38;	0,06;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
23;	1;	7;	0,99;	nan;	100,0;	96,1;	76,05;	69,98;	68,46;	62,91;	61,3;	56,82;	53,94;	51,26;	49,21;	48,7;	47,61;	42,92;	39,32;	37,05;	36,2;	34,58;	34,27;	33,47;	32,22;	30,81;	30,73;	29,3;	28,65;	28,53;	28,13;	27,54;	26,88;	26,8;	24,99;	24,63;	24,24;	24,1;	23,78;	22,57;	22,39;	21,53;	20,81;	20,34;	19,16;	18,79;	17,79;	16,97;	16,16;	16,04;	16,0;	15,05;	14,22;	13,84;	13,33;	13,04;	12,64;	12,03;	11,89;	11,63;	11,06;	10,33;	9,43;	9,03;	8,73;	8,3;	7,83;	7,12;	6,72;	6,7;	6,29;	5,52;	4,84;	4,51;	4,48;	4,09;	3,51;	3,46;	3,21;	2,94;	2,5;	2,23;	1,85;	1,51;	1,5;	1,37;	0,77;	0,28;	0,04;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
24;	-6;	7;	0,99;	45,13;	43,14;	38,55;	36,32;	34,18;	29,17;	27,63;	25,96;	22,52;	20,3;	19,43;	17,37;	17,34;	16,59;	15,9;	14,97;	13,28;	12,15;	12,13;	11,79;	10,63;	9,98;	9,75;	8,28;	6,32;	4,76;	3,7;	2,72;	2,38;	2,21;	1,51;	0,88;	0,68;	0,24;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
