0;	-17;	3;	1,33;	72,53;	67,86;	65,8;	65,7;	65,12;	62,37;	61,59;	59,86;	57,39;	57,3;	56,35;	56,17;	51,78;	51,07;	48,42;	45,63;	42,8;	39,66;	38,02;	36,38;	34,2;	33,01;	30,26;	28,46;	25,07;	24,38;	23,92;	21,77;	21,31;	20,17;	13,83;	13,67;	10,64;	8,71;	7,17;	7,06;	5,23;	4,61;	3,99;	3,6;	3,37;	2,09;	1,58;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
11;	-2;	3;	0,92;	97,53;	97,04;	96,46;	94,47;	93,97;	93,24;	91,85;	91,64;	89,18;	88,45;	87,23;	85,85;	85,14;	85,11;	84,7;	83,72;	80,39;	79,48;	78,98;	77,69;	77,56;	77,35;	74,82;	73,97;	73,72;	73,62;	71,08;	69,88;	69,4;	68,81;	66,66;	65,85;	64,9;	62,72;	62,59;	62,27;	60,57;	58,61;	58,38;	56,32;	55,43;	52,25;	51,17;	48,38;	48,17;	48,05;	47,14;	46,22;	46,19;	43,17;	42,16;	42,06;	41,36;	39,98;	39,37;	36,7;	35,64;	32,76;	31,7;	30,13;	30,01;	27,3;	26,28;	25,69;	23,88;	23,61;	22,46;	20,25;	19,17;	18,51;	18,04;	15,74;	14,63;	13,6;	12,37;	10,34;	8,13;	8,09;	7,31;	6,07;	5,46;	3,66;	1,62;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
12;	-6;	3;	0,85;	91,23;	90,84;	90,76;	88,78;	87,42;	85,94;	85,37;	85,13;	84,4;	84,3;	82,29;	81,51;	80,22;	79,1;	78,77;	77,37;	76,29;	76,14;	75,66;	74,81;	74,09;	72,43;	72,09;	71,18;	70,2;	69,75;	68,31;	66,67;	66,43;	65,46;	65,18;	63,59;	63,03;	61,4;	60,63;	59,71;	58,39;	57,16;	55,82;	54,6;	53,29;	51,87;	50,59;	49,96;	49,96;	47,2;	45,22;	44,82;	43,73;	42,28;	41,85;	41,79;	39,12;	37,39;	36,84;	36,47;	34,95;	33,69;	31,93;	30,63;	30,01;	28,72;	28,25;	27,14;	24,98;	22,85;	20,69;	20,57;	19,55;	18,78;	18,38;	17,7;	17,67;	16,41;	15,93;	15,63;	13,54;	12,85;	11,35;	11,05;	8,95;	7,27;	4,55;	3,83;	3,34;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
13;	-9;	3;	1,13;	87,4;	86,08;	82,86;	81,66;	80,58;	79,76;	77,66;	77,63;	75,09;	72,37;	71,8;	70,92;	68,5;	68,38;	67,53;	66,53;	66,14;	65,37;	64,66;	62,87;	62,66;	62,09;	61,03;	60,54;	60,34;	59,22;	58,13;	54,68;	53,01;	52,88;	52,69;	49,18;	48,1;	44,96;	41,61;	40,08;	39,85;	39,64;	37,72;	36,74;	36,57;	36,51;	34,76;	32,67;	32,26;	30,88;	29,51;	29,26;	25,85;	25,69;	25,6;	24,44;	22,87;	22,69;	21,91;	19,83;	19,09;	17,74;	13,38;	12,84;	10,3;	9,95;	9,74;	7,55;	6,26;	5,43;	4,79;	3,9;	0,34;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
14;	8;	3;	1,01;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,42;	98,45;	97,02;	95,87;	92,78;	91,9;	90,14;	86,55;	85,75;	84,65;	83,57;	81,97;	80,8;	79,53;	78,73;	78,33;	76,94;	76,39;	73,36;	72,42;	70,94;	70,8;	68,74;	67,52;	66,84;	66,41;	65,52;	65,5;	64,84;	64,1;	62,01;	61,38;	60,18;	58,14;	57,74;	56,84;	56,36;	55,25;	54,41;	52,94;	52,33;	51,0;	48,41;	47,5;	47,08;	45,44;	45,25;	43,04;	41,67;	39,9;	38,76;	37,09;	36,14;	35,72;	33,56;	32,97;	32,87;	32,16;	28,17;	26,87;	25,83;	25,02;	24,15;	23,92;	22,97;	19,86;	19,19;	18,13;	17,24;	15,18;	14,44;	14,2;	13,61;	13,31;	11,89;	11,57;	11,32;	9,96;	8,76;	5,82;	2,82;	1,76;	0,64;	0,07;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
15;	-6;	3;	1,07;	89,79;	88,2;	85,64;	84,22;	83,37;	83,15;	81,97;	80,16;	79,2;	78,14;	77,55;	77,46;	75,49;	74,07;	71,85;	70,87;	69,47;	69,42;	69,33;	68,45;	66,52;	63,96;	62,67;	61,85;	61,42;	60,79;	58,84;	57,02;	56,77;	55,16;	53,59;	52,97;	50,52;	48,36;	46,06;	45,16;	44,68;	42,62;	41,38;	37,39;	36,43;	34,81;	33,04;	29,64;	27,77;	25,81;	24,47;	23,4;	22,18;	20,28;	20,08;	18,57;	17,77;	16,96;	15,78;	15,21;	13,33;	12,98;	11,82;	11,63;	9,35;	7,95;	5,35;	4,82;	3,8;	3,06;	1,4;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
16;	-20;	3;	1,28;	71,12;	70,83;	70,7;	66,9;	66,08;	64,53;	63,43;	62,36;	59,87;	58,57;	57,49;	53,7;	50,58;	47,24;	45,38;	44,43;	41,62;	38,55;	38,38;	36,64;	35,26;	33,33;	32,27;	29,11;	27,65;	25,62;	24,78;	23,22;	22,61;	21,63;	20,07;	19,93;	15,58;	14,9;	12,62;	11,46;	10,05;	9,9;	8,26;	7,75;	6,38;	5,61;	4,7;	3,78;	1,65;	0,05;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
17;	1;	3;	0,98;	nan;	100,0;	99,96;	99,62;	96,64;	96,06;	95,65;	95,51;	94,93;	94,47;	93,59;	92,36;	91,15;	90,65;	87,89;	87,35;	86,7;	86,02;	85,23;	83,97;	83,46;	82,58;	82,14;	78,88;	78,06;	75,92;	75,88;	74,91;	72,85;	72,3;	69,94;	67,73;	66,81;	66,31;	65,41;	64,69;	63,57;	61,65;	59,73;	57,34;	55,66;	54,93;	54,47;	53,73;	52,47;	52,14;	50,96;	49,75;	47,73;	45,72;	43,88;	43,64;	42,37;	41,39;	38,81;	38,61;	37,57;	36,91;	36,84;	35,73;	32,5;	31,59;	29,62;	29,24;	28,33;	27,28;	25,64;	25,61;	22,24;	21,64;	20,93;	20,58;	20,06;	20,02;	17,07;	13,43;	13,23;	12,88;	12,42;	11,82;	11,06;	10,08;	8,29;	7,07;	6,83;	4,74;	3,59;	0,65;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
18;	-4;	3;	1,03;	93,0;	92,43;	91,74;	91,21;	89,56;	85,6;	82,86;	82,78;	81,16;	80,66;	80,54;	79,13;	78,77;	74,56;	73,29;	71,0;	70,7;	68,18;	66,68;	65,42;	63,07;	59,23;	56,02;	55,86;	55,38;	53,31;	51,55;	50,28;	50,21;	49,25;	47,49;	44,89;	43,42;	42,86;	42,78;	40,81;	40,06;	37,5;	34,76;	33,79;	33,75;	31,87;	31,13;	30,49;	29,46;	28,5;	28,01;	26,61;	24,23;	24,15;	22,59;	21,44;	21,39;	20,58;	18,73;	18,46;	18,41;	17,59;	15,87;	14,37;	13,14;	11,95;	10,14;	9,77;	9,72;	9,71;	9,46;	7,63;	6,23;	5,27;	3,11;	2,88;	2,06;	1,04;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
19;	-5;	3;	0,82;	95,31;	93,45;	92,16;	89,18;	89,11;	87,85;	86,73;	86,02;	85,21;	85,14;	84,92;	84,76;	83,73;	83,68;	82,69;	81,92;	79,85;	78,61;	77,54;	76,2;	76,05;	75,36;	73,24;	71,3;	71,1;	70,81;	69,53;	68,09;	67,19;	66,06;	65,93;	65,49;	64,41;	63,52;	63,0;	60,71;	57,95;	56,82;	56,5;	55,29;	54,98;	54,27;	53,54;	53,43;	52,96;	51,83;	50,41;	49,45;	48,14;	47,67;	47,11;	45,51;	45,49;	43,14;	42,89;	42,42;	42,24;	41,26;	40,25;	39,05;	38,07;	38,0;	37,43;	36,06;	35,62;	33,46;	32,99;	32,28;	30,8;	29,71;	29,07;	27,98;	26,33;	25,08;	23,64;	23,03;	22,31;	21,27;	19,45;	18,34;	18,11;	17,58;	13,36;	12,24;	11,77;	10,39;	9,81;	9,79;	9,16;	7,72;	6,66;	6,18;	4,24;	1,83;	0;	0;	0;	0;	0;	0;	0
20;	-7;	3;	1,11;	90,36;	87,15;	86,28;	85,93;	84,82;	83,12;	81,63;	80,3;	79,19;	76,88;	74,82;	74,24;	72,0;	69,92;	68,37;	67,5;	66,48;	65,9;	64,2;	60,92;	59,33;	56,71;	55,81;	55,46;	53,7;	53,36;	50,95;	46,3;	44,07;	42,48;	41,02;	40,76;	40,2;	39,49;	37,47;	36,7;	34,45;	34,19;	31,73;	30,49;	28,84;	28,64;	27,54;	27,51;	27,22;	24,91;	24,68;	23,23;	20,84;	20,32;	17,19;	16,5;	15,21;	14,31;	14,08;	11,85;	8,88;	7,43;	6,53;	5,42;	4,42;	0,88;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
21;	-2;	3;	1,2;	93,59;	92,39;	88,53;	87,24;	86,0;	81,68;	80,62;	78,31;	77,11;	73,91;	72,13;	70,37;	68,91;	67,65;	65,93;	64,42;	62,14;	57,57;	56,33;	55,84;	54,42;	53,82;	52,45;	50,12;	48,75;	47,25;	46,24;	45,59;	43,03;	42,99;	40,9;	40,58;	39,77;	38,25;	36,42;	32,65;	29,66;	28,32;	26,08;	24,5;	23,48;	21,9;	20,4;	20,15;	19,58;	19,02;	18,39;	14,65;	13,22;	11,3;	10,14;	7,7;	7,41;	7,29;	6,74;	5,45;	3,38;	2,09;	0,72;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
22;	0;	3;	0,84;	100,0;	99,71;	99,44;	99,2;	98,52;	98,35;	97,72;	97,52;	96,23;	94,56;	93,8;	92,97;	92,26;	92,23;	92,0;	90,42;	88,46;	88,32;	85,31;	84,49;	82,96;	80,9;	78,62;	76,97;	76,0;	75,33;	74,71;	74,19;	73,37;	71,94;	70,86;	70,77;	69,47;	69,38;	68,5;	66,97;	65,0;	64,83;	64,62;	64,61;	64,0;	62,32;	61,38;	60,23;	58,42;	56,6;	56,25;	55,72;	54,74;	53,43;	52,73;	51,2;	50,24;	49,67;	49,27;	49,04;	48,94;	47,9;	45,94;	45,12;	44,74;	43,98;	43,3;	42,83;	41,42;	40,03;	38,12;	36,26;	35,81;	32,84;	32,84;	32,49;	30,98;	29,95;	29,9;	28,32;	27,7;	26,07;	25,13;	23,7;	22,94;	22,8;	20,53;	20,42;	17,44;	14,75;	11,94;	9,89;	9,61;	8,83;	7,05;	6,36;	6,09;	4,87;	2,42;	1,05;	0;	0;	0;	0;	0
23;	2;	3;	1,0;	nan;	nan;	100,0;	99,97;	98,13;	97,1;	96,4;	94,42;	92,96;	92,31;	91,99;	90,39;	89,84;	87,07;	86,34;	85,77;	85,27;	84,14;	83,56;	83,25;	80,22;	78,67;	78,34;	77,11;	77,01;	76,42;	72,93;	72,03;	69,4;	67,04;	66,82;	65,66;	62,78;	61,95;	61,56;	58,69;	57,09;	53,85;	51,36;	50,27;	50,04;	49,34;	44,89;	43,54;	42,31;	42,07;	40,99;	40,57;	39,6;	38,57;	35,91;	35,39;	34,36;	32,43;	29,35;	29,23;	28,92;	26,61;	25,36;	24,42;	22,49;	19,72;	18,54;	17,88;	14,66;	12,26;	10,3;	8,91;	8,61;	7,31;	6,88;	6,85;	6,75;	6,7;	4,33;	3,14;	2,15;	1,94;	0,55;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
24;	29;	3;	1,26;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,44;	99,16;	98,62;	96,77;	95,75;	91,97;	91,62;	90,79;	89,69;	88,88;	88,79;	88,34;	87,86;	86,59;	83,06;	81,34;	80,8;	80,6;	79,05;	76,86;	76,82;	75,55;	74,48;	70,11;	69,07;	67,82;	66,46;	65,48;	61,64;	59,86;	58,28;	57,16;	55,93;	54,26;	51,66;	51,56;	49,48;	47,2;	47,0;	46,45;	46,3;	43,83;	42,16;	41,14;	40,52;	40,14;	40,0;	39,47;	34,67;	33,04;	29,16;	28,2;	27,35;	27,24;	26,8;	25,03;	24,46;	20,88;	19,35;	15,04;	14,07;	12,48;	10,51;	9,79;	9,06;	8,32;	7,44;	7,32;	4,48;	0,0;	0,0
